calBP,PrDens,lo,hi,logFit2,PhaseID,CompID,BRMspd,MeanFCRArea
8349,0.016572560711526,0.012409501433046,0.03074823316137,0.022889487440008,Expansion,Component II,0.007112709978165,0.56
8348,0.016642437182598,0.012547530576716,0.030840253074101,0.022891246703568,Expansion,Component II,0.007052744148298,0.56
8347,0.016712808117727,0.012657054062907,0.03105461419745,0.022893009082087,Expansion,Component II,0.006992521969263,0.56
8346,0.016783672497746,0.012766846659376,0.031203121968596,0.022894774580968,Expansion,Component II,0.006932058814081,0.56
8345,0.016855029239046,0.012832961197477,0.031260177958956,0.022896543205625,Expansion,Component II,0.006871369426607,0.56
8344,0.016927297699616,0.012790823044049,0.031312503672222,0.022898314961479,Expansion,Component II,0.006810548826747,0.56
8343,0.017000498338648,0.012746247461678,0.031360684278097,0.022900089853961,Expansion,Component II,0.006749602590851,0.56
8342,0.017074585565052,0.012714893794693,0.031452296882254,0.022901867888512,Expansion,Component II,0.006688536021129,0.56
8341,0.017149546774854,0.012680114206918,0.031612405339524,0.022903649070579,Expansion,Component II,0.006627354160834,0.56
8340,0.017225368828747,0.012761888872473,0.031670458822984,0.022905433405622,Expansion,Component II,0.006566061809064,0.56
8339,0.017300840733324,0.012842254729345,0.03171763844799,0.022907220899106,Expansion,Component II,0.006504731710918,0.56
8338,0.01737584933088,0.012887175364308,0.03175390838747,0.022909011556508,Expansion,Component II,0.006443372685277,0.56
8337,0.0174504472518,0.012864987127824,0.031787665212756,0.022910805383313,Expansion,Component II,0.006381992612333,0.56
8336,0.017524607814621,0.01283900117158,0.031974500745979,0.022912602385016,Expansion,Component II,0.006320598519206,0.56
8335,0.017598297977212,0.012927140797032,0.032152558264584,0.022914402567119,Expansion,Component II,0.006259196661633,0.56
8334,0.017669931946978,0.013019181668538,0.03233665154224,0.022916205935135,Expansion,Component II,0.006197790261165,0.56
8333,0.017739406913055,0.012996067524671,0.032586078682453,0.022918012494586,Expansion,Component II,0.006136426116543,0.56
8332,0.017806745098104,0.013008600368393,0.032778044825545,0.022919822251003,Expansion,Component II,0.00607510905045,0.56
8331,0.017871767244997,0.012968040183558,0.032967301889421,0.022921635209925,Expansion,Component II,0.006013843178853,0.56
8330,0.017934394186348,0.012934260962798,0.033146635609275,0.022923451376902,Expansion,Component II,0.005952631999632,0.56
8329,0.017996037573716,0.012970112227299,0.033216265409642,0.022925270757492,Expansion,Component II,0.005891419249616,0.56
8328,0.018056584169975,0.013143838904632,0.033165041999355,0.022927093357262,Expansion,Component II,0.005830178080807,0.56
8327,0.018115903950743,0.013050781399379,0.03325620502059,0.022928919181789,Expansion,Component II,0.005768945845008,0.56
