calBP,PrDens,PerCap,lo,hi,logFit3,PhaseID,CompID,BRMspd,MeanFCRArea
3196,0.145537881,-0.001052783,0.086417613,0.166111793,0.121556866,Expansion,Component III,0.019403608,1.54
3195,0.145375038,-0.001119528,0.086324292,0.166005658,0.121567943,Expansion,Component III,0.019461045,1.54
3194,0.145190168,-0.00127249,0.086209942,0.165828573,0.121579052,Expansion,Component III,0.019519927,1.54
3193,0.144986894,-0.001401034,0.086470523,0.165655648,0.121590191,Expansion,Component III,0.019580784,1.54
3192,0.144774087,-0.001468844,0.086508307,0.165620641,0.121601361,Expansion,Component III,0.019641553,1.54
3191,0.144539688,-0.001620377,0.086575254,0.165812569,0.121612562,Expansion,Component III,0.019702923,1.54
3190,0.144296482,-0.001684041,0.086712189,0.166035173,0.121623794,Expansion,Component III,0.019766054,1.54
3189,0.144042121,-0.001764321,0.087038113,0.166155276,0.121635057,Expansion,Component III,0.019828906,1.54
3188,0.143779732,-0.001823278,0.087261155,0.166043882,0.121646351,Expansion,Component III,0.019893006,1.54
3187,0.143514387,-0.001847198,0.087166913,0.165908179,0.121657677,Expansion,Component III,0.019958278,1.54
3186,0.143247129,-0.001863975,0.08707893,0.165747721,0.121669033,Expansion,Component III,0.020024703,1.54
3185,0.142972548,-0.001918675,0.087071264,0.165588053,0.121680421,Expansion,Component III,0.020091789,1.54
3184,0.142696085,-0.001935552,0.087116125,0.165406905,0.121691841,Expansion,Component III,0.020159945,1.54
3183,0.142420064,-0.0019362,0.087281737,0.165405195,0.121703292,Expansion,Component III,0.020228631,1.54
3182,0.142143711,-0.001942294,0.087411287,0.16561961,0.121714774,Expansion,Component III,0.020299684,1.54
3181,0.14186697,-0.001948804,0.087552513,0.1652228,0.121726289,Expansion,Component III,0.020370965,1.54
3180,0.141588584,-0.001964231,0.087717216,0.164685934,0.121737835,Expansion,Component III,0.020442973,1.54
3179,0.14132314,-0.001876516,0.087955914,0.164632902,0.121749413,Expansion,Component III,0.020514936,1.54
3178,0.141062924,-0.001842985,0.08801163,0.164752733,0.121761023,Expansion,Component III,0.020586909,1.54
3177,0.140811414,-0.001784549,0.088162811,0.164877836,0.121772665,Expansion,Component III,0.020659717,1.54
3176,0.140564818,-0.001752785,0.087856613,0.165006006,0.12178434,Expansion,Component III,0.020731242,1.54
