calBP,PrDens,lo,hi,LogisticFit,PhaseID,CompID,BRMspd,MeanFCRArea
9451,0.019470289,0.019765576,0.027905816,0.023470667,Intensification,Component I,0.005059376454039,0.16
9450,0.019612845,0.019788706,0.027932798,0.0234776,Intensification,Component I,0.005099550230241,0.16
9449,0.019754299,0.019804371,0.02794584,0.023484532,Intensification,Component I,0.005139922456303,0.16
9448,0.019894437,0.019816979,0.027967437,0.023491462,Intensification,Component I,0.005180484264712,0.16
9447,0.02003307,0.019833546,0.027991288,0.023498389,Intensification,Component I,0.005221226642755,0.16
9446,0.020170017,0.019850394,0.028013411,0.023505315,Intensification,Component I,0.005262140441461,0.16
9445,0.020305112,0.019857689,0.028033151,0.023512238,Intensification,Component I,0.005303216384912,0.16
9444,0.020440707,0.019866499,0.028050178,0.02351916,Intensification,Component I,0.005344464468852,0.16
9443,0.020576654,0.019870095,0.028071075,0.02352608,Intensification,Component I,0.005385871803721,0.16
9442,0.020712889,0.019879607,0.028089222,0.023532997,Intensification,Component I,0.005427425373947,0.16
9441,0.020849207,0.019892444,0.028106356,0.023539913,Intensification,Component I,0.005469112057616,0.16
9440,0.02098536,0.019922748,0.028134186,0.023546826,Intensification,Component I,0.005510918646693,0.16
9439,0.021122515,0.019969764,0.028154254,0.023553737,Intensification,Component I,0.005552762390992,0.16
9438,0.021260424,0.020015526,0.028173304,0.023560647,Intensification,Component I,0.005594660317433,0.16
9437,0.021398791,0.020038672,0.028191471,0.023567554,Intensification,Component I,0.005636561406393,0.16
9436,0.021537318,0.020050098,0.028208622,0.023574459,Intensification,Component I,0.005678481454097,0.16
9435,0.02167571,0.0200621,0.02821619,0.023581363,Intensification,Component I,0.005720373906023,0.16
9434,0.02181384,0.020080045,0.028244142,0.023588264,Intensification,Component I,0.005762250732872,0.16
9433,0.02195138,0.020101429,0.028258306,0.023595163,Intensification,Component I,0.00580409219286,0.16
9432,0.022088003,0.020123729,0.028258761,0.02360206,Intensification,Component I,0.005845879614115,0.16
9431,0.022223386,0.020128383,0.028262724,0.023608955,Intensification,Component I,0.005887595460081,0.16
9430,0.022357212,0.020126671,0.028249463,0.023615848,Intensification,Component I,0.005929223390784,0.16
9429,0.022488968,0.020126652,0.028248964,0.023622739,Intensification,Component I,0.005970816059685,0.16
9428,0.022618437,0.020126253,0.028272558,0.023629628,Intensification,Component I,0.006012320134949,0.16
9427,0.022745415,0.020089436,0.028273802,0.023636515,Intensification,Component I,0.006053714026876,0.16
9426,0.022869704,0.020072231,0.028274228,0.0236434,Intensification,Component I,0.006094977509476,0.16
9425,0.022991116,0.020047563,0.028273919,0.023650283,Intensification,Component I,0.006136091832347,0.16
